date,open,high,low,close,volume
10/19/2022,1294.48,1296.36,1291.39,1292.6,1711033.701
10/19/2022,1292.66,1295.43,1291.83,1294.46,2163143.076
10/19/2022,1294.6,1294.86,1291.84,1293,3693444.163
10/19/2022,1292.98,1293.09,1280.33,1286.45,6921109.515
10/19/2022,1286.44,1289.28,1283.71,1285.5,6285387.088
10/19/2022,1285.3,1286.63,1280,1285.26,7801086.402
10/19/2022,1285.14,1288.24,1282.75,1286.5,6700331.968
10/19/2022,1286.58,1287.72,1270.3,1276.85,15478047.64
10/19/2022,1276.85,1282.02,1273.12,1278.79,12290770.17
10/19/2022,1278.8,1281.41,1277.37,1279.9,7855239.129
10/19/2022,1279.9,1282.29,1277.58,1280.88,7933299.138
10/19/2022,1280.84,1283.13,1280.1,1282.28,7130761.482
10/19/2022,1282.36,1282.98,1278,1278.25,6450478.127
10/19/2022,1278.27,1281.8,1277.02,1279.97,6754017.006
10/20/2022,1280.01,1289.19,1279.54,1287.66,7524941.7
10/20/2022,1287.66,1292.1,1285.2,1291.08,8044770.198
10/20/2022,1291.02,1296.25,1289.25,1291.57,12668724.25
10/20/2022,1291.57,1294.72,1290.31,1292.41,7431395.887
10/20/2022,1292.41,1293.65,1289.01,1289.95,7553961.18
10/20/2022,1289.87,1292.13,1288.23,1291.38,6692043.491
10/20/2022,1291.38,1294.24,1288.46,1292.37,9164233.528
10/20/2022,1292.44,1294.02,1290.69,1292.4,8376232.259
10/20/2022,1292.41,1293.47,1290.69,1291.32,5273460.376
10/20/2022,1291.31,1294.9,1290.13,1291.22,5983651.989
10/20/2022,1291.24,1292.97,1289.21,1292.58,3927281.669
10/20/2022,1292.55,1296.47,1292.39,1296.3,5248814.364
10/20/2022,1296.3,1297.8,1292.85,1294.99,5198110.406
10/20/2022,1295.01,1301.8,1294.95,1299.05,9195269.519
10/20/2022,1299.16,1302.54,1297.89,1300.17,7353451.308
10/20/2022,1300.17,1301.65,1298.54,1299.63,6561347.688
10/20/2022,1299.63,1304.16,1297.5,1301,7963539.673
10/20/2022,1301.09,1303.67,1292.02,1292.05,13016166.74
10/20/2022,1292.35,1295.41,1291.01,1293.16,7349118.569
10/20/2022,1293,1301.69,1290.51,1297.87,13466215.63
10/20/2022,1297.87,1311,1297.71,1306.06,15514879.36
10/20/2022,1306.28,1307.68,1302.83,1306.08,11921523.73
10/20/2022,1306.19,1307.92,1301.13,1302.49,9030559.116
10/20/2022,1302.57,1304.14,1298.97,1299.64,9234320.752
10/20/2022,1299.71,1299.93,1287.28,1290.81,13363160.27
10/20/2022,1290.83,1292.54,1287.85,1290.58,10222998.23
10/20/2022,1290.59,1290.84,1283.34,1287.44,11802127.01
10/20/2022,1287.43,1288.03,1282.79,1284.97,12059575.72
10/20/2022,1284.81,1285.48,1277.48,1282.34,12199522.16
10/20/2022,1282.33,1290.51,1280.62,1288.69,10939327.78
10/20/2022,1288.79,1291.05,1284.69,1286.98,9189729.093
10/20/2022,1286.82,1287.01,1282.22,1284.52,7810488.025
10/20/2022,1284.67,1286.9,1277.94,1278.54,7872139.758
